seller business name,business_country,email,phone_number
Business Name:Lohas Living Inc,USA,jadgemaello@gmail.com,10022-6630
Business Name:1a-Handelsagentur,Germany,info@1a-handelsagentur.de,039932-829721
,Other,,
Business Name:Oliver Mills,Germany,webmaster@9pm-store.de,"26
 33829"
Business Name:ABC-Schnäppchenmarkt GmbH,Germany,abc-markt@web.de,"10
 32469"
Business Name:All Terrain Ireland,Other,,
Business Name:GURU 2016 GmbH,Other,support@bauguru.at,78 3848 7000 0038 6060
Business Name:MADEWELL SUPPLY INC,USA,,
Business Name:Blumenbecker Industriebedarf GmbH,Germany,bib.beckum@blumenbecker.com,99-107 59269
Business Name:Jörg Müller & Petra Scheerer GbR,Germany,,
Business Name:boni-shop.com OHG,Germany,amazon@boni-shop.com,"58
 27755"
Business Name:Bristol Fashion,USA,,
Business Name:Adrián Aparicio Vera,Other,,
Business Name:Daniel Vogeley und Christopher Gemander GbR,Germany,info@deinegartenwelt.de,"20
 50259"
Business Name:Dinan LLC,USA,,
Business Name:Flukey LLC,USA,,
Business Name:Tkog Iwy INC,USA,Granaryvin@gmail.com,10169-0499
Business Name:HOCK Design e.K.,Germany,amazon@hockdesign.de,"45

51766"
Business Name:International Systems and Equipment Ltd.,Other,,
Business Name:itenga GmbH,Germany,info@itenga.de,815026868
Business Name:Johannes Zierleyn KG,Germany,nils.holm@zierleyn.de,+49 5921 834011
Business Name:Elektrotechnik Falk GbR,Germany,info@kabel-licht.de,022939011211
Business Name:Georg Kaiser,Germany,info@kaiser24.shop,020260937540
Business Name:Kaleido.Shop GmbH,Germany,info@kaleidoshop.de,231187067
Business Name:Kalitec Verbindunstechnik GmbH,Germany,info@kalishop.de,313924120
Business Name:KAMAI.PL GmbH,Other,,
Business Name:Schindler+Hofmann GmbH & Co. KG,Germany,info@kamdi24.de,+49-(0)351-259300-11
VAT Number:DE332440907,Other,,
Business Name:Kaminlicht GmbH,Germany,,
Business Name:kaminplus GmbH,Germany,,20  25917
Business Name:Handelsvertretung Achim Schmitt,Germany,kundenservice@kamin-store24.de,09363-9977217
Business Name:Samir Zamel,Germany,amazon@kanana-online.de,"151
 41460"
Business Name:Kanister-Vertrieb MW Markus Waas,Germany,info@kanister-vertrieb.de,"41

86641"
Business Name:K A Parts Limited,Other,,
Business Name:KARABAR LTD,Other,,
Business Name:Karabu srls,Other,,
Business Name:Creativ-Discount & Party-Discount Köln GmbH & Co. KG,Germany,koeln@party-discount.de,"66-70
 50674"
